时代,日期,事件
黄金岁月,2007年,人类意识到智子的存在
黄金岁月,2007年秋,红岸基地旧址?叶文洁死亡（疑为被处决）?时年六十一岁
黄金岁月,2007年,地球召开特别联大，改元为危机纪元。行星防御理事会（PDC）成立，成员国包括美、日、英、法、德、俄、中
危机纪元1-3年,2008年,程心加入行星防御理事会战略情报局，见到局长托马斯·维德
危机纪元2年,2010年,史强因辐射患白血病
危机纪元3年,2011年,“红岸”工程部分文件解密
危机纪元3年,2011年,章北海和吴岳被调至太空军
危机纪元3年,2011年,“逃亡主义”被联大宣布为非法
危机纪元3年,2011年,史强首次见到罗辑
危机纪元3年,2011年,罗辑在联合国总部被选为“面壁人”，随后遭遇刺杀，托马斯·维德提出“只送大脑”
危机纪元3年,2011年,史强找到庄颜，罗辑见到庄颜
危机纪元3年,2011年,史强进入冬眠
危机纪元3年,2011年,哈勃二号太空望远镜观察到三体舰队
危机纪元4年,2012年,《安乐死法》被通过
危机纪元4年,2012年,云天明为程心购买DX3906
危机纪元5年,2013年,三体世界发射的六颗智子中最远的一颗遭遇智子盲区，距离三体世界七光年，阶梯计划候选人启动
危机纪元5-7年,2013年-2015年,“阶梯计划”实行，云天明大脑被送入太空，后偏离航向失踪
危机纪元7年,2015年,程心作为阶梯计划联络员第一次冬眠
危机纪元7年,2015年,庄颜分娩，生下一名女孩
危机纪元8年,2016年,面壁人泰勒被破壁人击败，随后自杀，特别联大修改《面壁计划宪章》，要求不得危害人类生命
危机纪元8年,2016年,面壁人希恩斯与雷迪亚兹选择冬眠20年等待技术进步。联合国将庄颜和女儿带走并送入冬眠
危机纪元8年,2016年,罗辑领悟“黑暗森林”，向恒星187J3X1发送“咒语”，同日，三体第一舰队放出十架“水滴”，三体世界第二次对罗辑发出追杀令，罗辑被ETO基因导弹袭击，生命垂危，进入冬眠
危机纪元8年,2016年,章北海与丁仪在“高边疆号”上相识，得知可控核聚变发展受到人为限制
危机纪元12-13年,2020年-2021年,斐兹罗与林格再次发现三体舰队
危机纪元13年,2021年,可控核聚变研发成功。章北海第二次与丁仪会面，了解航天系统内情
危机纪元13年,2021年,章北海在太空消灭提倡工质飞船的专家，随后加入增援未来特遣队冬眠
危机纪元15年,2023年,无工质飞船项目上马
危机纪元20年,2028年,面壁人希恩斯与雷迪亚兹被唤醒
危机纪元20年,2028年,面壁人希恩斯发明思想钢印
危机纪元20年,2028年,面壁人雷迪亚兹在水星进行核试验，随后被破壁人击败，被本国人民杀死
危机纪元20年,2028年,常伟思退役
危机纪元21年,2029年,希恩斯再次冬眠，决定直达末日
约危机纪元28年,2036年,大低谷时期开始
约危机纪元31年,2039年,思想钢印被国际法院判定为违法，信念中心关闭
危机纪元47年,2055年,章北海的妻子去世
约危机纪元80年,2088年,大低谷时期结束，世界人口由83亿降至15亿
危机纪元81年,2089年,章北海的女儿去世
约危机纪元105年,2113年,"ETO被剿灭,在此前研制成功killer?5.2软件"
约危机纪元130年,2138年,重建太空舰队，三大太空舰队开始成为独立国家
危机纪元154年,2162年,恒星187J3X1被“光粒”摧毁
危机纪元195年,2203年,关一帆出生
危机纪元198年,2206年,丁仪苏醒，于北京大学物理系任教
危机纪元201年,2209年,三体第一舰队穿过第四片星际尘埃，开始减速
危机纪元204年,2212年,人类观测到恒星187J3X1被摧毁，丁仪提出作为第一名考察水滴的人，终获批准
危机纪元205年,2213年,罗辑从冬眠中苏醒，其与希恩斯的面壁者身份被取消
危机纪元205年,2213年,罗辑遇到苏醒后的史强，史强数次帮罗辑躲过袭击，罗辑、史强、希恩斯定居新生活五村
危机纪元205年,2213年,希恩斯被其妻子以破壁人身份击败，其妻子自杀，ETO彻底退出历史舞台
危机纪元205年,2213年,章北海向亚洲舰队报道，成为“自然选择”号执行舰长，受命调查钢印族。其时亚洲舰队具有恒星级战舰695艘，其中集中型179艘，PIA向太阳系舰队发出水滴攻击的警报，但未受足够重视
危机纪元205年,2213年,末日战役爆发，亚洲舰队、欧洲舰队和北美舰队的所有恒星级战舰，在不到四十分钟内共二千零八艘全灭，仅“量子”号和“青铜时代”号逃离。丁仪考察“水滴”，阵亡，时年84岁
危机纪元205年,2213年,章北海会同四艘追击舰成立星舰地球，黑暗森林战役在两侧几乎同时爆发，人类战舰相互攻击，章北海阵亡。星舰地球幸存者为蓝色空间号，另一侧的幸存者为“青铜时代”号，两舰分别继续航行。人类世界宣布开除“蓝色空间”和“青铜时代”号
危机纪元205年,2213年,水滴压制太阳的电波反射效应
危机纪元205年,2213年,罗辑领导“雪地工程”
危机纪元208年,2216年,丁仪与白Ice在华北平原，白Ice进入冬眠
危机纪元208年,2216年,罗辑被新生活五区的居民代表会议驱逐出小区
危机纪元208年,2216年11月,罗辑在叶文洁和杨冬的墓碑旁对决三体世界。威慑建立后，罗辑将摇篮系统上交联合国和太阳系舰队，18个小时后，联合国和太阳国际将威慑系统交还罗辑。“三体”世界没有在这18各小时内摧毁摇篮系统被后世认为是最大的失误，危机纪元结束
威慑纪元元年,2208年,青铜时代、蓝色空间号收到返航指令
威慑纪元5年,2213年,罗辑与两个半世纪前曾向地球发出誓告的监听员交谈
威慑纪元6年,2214年,反三体组织“地球之子”袭击位于南极的引力波发射台，未遂
威慑纪元5-7年,2213-2215年,庄颜带着孩子离开罗辑
威慑纪元12年,2220年,“青铜时代”号返回地球
威慑纪元13年,2221年,“青铜时代”号所有人被以反人类罪逮捕
威慑纪元13年,2221年,审判青铜时代号乘员。“青铜时代”号向“蓝色空间”号发出讯息，“蓝色空间”加速逃离。万有引力号会同两颗水滴追击蓝色空间
威慑纪元18年,2226年,地球引力波发射天线大规模拆除结束，保留三座并转移到地层深处
约威慑纪元20年,2228年,?反射文化取代地球本土文化，成为文化主流
约威慑纪元????????20-50年,2228-2258年,三体第一舰队截获阶梯计划飞行器
威慑纪元51年,2259年,万有引力号与随行的水滴进入智子盲区，智子通信中断且不可恢复。该盲区距离地球1.3光年
威慑纪元52年,2260年,万有引力号穿过奥尔特星云
约威慑纪元60年,2268年,人类能够少量生产强互作用力材料
威慑纪元61年,2269年,艾AA博士利用太阳引力透镜发现DX3906的行星
威慑纪元61年,2269年,程心因为DX3906的行星的产权问题从冬眠中被唤醒。?托马斯·维德为成为执剑人射杀程心。程心身中两弹幸存。维德被逮捕，以谋杀未遂判刑三十年
威慑纪元61年,2269年,程心决心参选执剑人
威慑纪元62年,2270年11月28日,水滴攻击“蓝色空间”号与追击的“万有引力”?号
威慑纪元62年,2270年11月28日16:00,罗辑向程心交接引力波宇宙广播系统
威慑纪元62年,11月28日下午16时,攻击“蓝色空间”号的水滴被摧毁
威慑纪元62年,11月28日下午16时27分,地球上引力波宇宙广播系统遭到摧毁
威慑纪元62年,11月28日下午16时,“万有引力”号的引力波宇宙广播系统启动
威慑后,2270年11月29日,蓝色空间、万有引力号联合考察队进入四维空间，关一帆与四维空间的“魔戒”对话
威慑后,2271年1月29日,全人类开始向澳大利亚移民?智子开始招募地球治安军，报名者两千万，最后招募五百万人左右
威慑后,2271年7月,堪培拉惨案。移民洗劫悉尼并与澳大利亚政府发生武装冲突，伤亡人数五十余万。地球抵抗运动产生，罗辑为精神领袖，六名执剑者候选人全部参与，一年后，其中三人阵亡
威慑后,2271年11月25日,移民完成，澳大利亚聚集了四十一亿六千万人。地球治安军开始摧毁澳大利亚的工业。程心心因性失明，后转为病理性失明
威慑后,2271年,地球得知“万有引力”号的引力波宇宙广播系统启动
广播纪元1年前后,2270年,智子屏蔽技术出现，实现有限空间内的智子屏蔽
广播纪元元年,2272年,程心为治疗失明进入短期冬眠
广播纪元3年,2276年,三体世界被从某艘地外文明飞船上发射的光粒摧毁
广播纪元7年,2280年,程心为治疗失明苏醒
广播纪元7年,2280年,地球观测到三体世界被光粒摧毁
广播纪元7年,2280年,智子邀请程心和罗辑喝茶两次，传达云天明的邀请
广播纪元7年,2280年,程心与云天明在拉格郎日点通讯，云天明讲了三个童话
广播纪元8年,2281年,林格-费格罗观测站发现曲率驱动尾迹效应，两个国际立法禁止光速飞船研究
广播纪元8年,2281年,第一次黑暗森林打击误报
广播纪元8年,2281年,托马斯·维德刑满释放
广播纪元8年,2281年,掩体工程试验。程心作为志愿者与维德重逢。将星环公司交与托马斯·维德，维德接管公司，程心与艾AA进入冬眠
广播纪元25年,2297年,星环集团建造的环日加速器投入运行
掩体纪元元年,2333年,黑洞项目启动
掩体纪元5年,2338年,星环集团宣布研制曲率驱动飞船的计划
掩体纪元11年,2344年,程心第三次冬眠苏醒
掩体纪元11年,2344年,程心代表星环集团向联邦政府投降
掩体纪元11年,2344年,托马斯·维德以反人类罪、战争罪和违反曲率驱动技术禁止法罪被判处死刑，程心唤醒艾AA后二人一同再次进入冬眠
掩体纪元44年,2377年,白Ice苏醒
掩体纪元46年,2379年,罗辑重新牵头光速飞船计划，研究在雷迪亚兹炸出的水星基地恢复
掩体纪元64年,2397年,秘密搭载曲率引擎的新一代“星云”号建造完成
掩体纪元66年,2399年,歌者的飞船掠过奥尔特星云外侧，并被太阳系预警系统观测。联邦政府掩盖这一发现
掩体纪元66年,2399年,白Ice接触歌者投放的二向箔
掩体纪元67年,2400年5月19日,程心第四次冬眠苏醒?黑暗森林打击
掩体纪元67年,2400年,程心与艾AA来到冥王星，再次遇到罗辑
掩体纪元67年,2400年,太阳系开始二维化，程心与艾AA乘坐曲率驱动飞船离开太阳系，罗辑与冥王星一同被二维
银河纪元409年,2682年,程心与艾AA到达DX3906
银河纪元409年,2682年,云天明来到DX3906
银河纪元409年,2682年,程心与关一帆在“亨特”号进入死域
